Модель;Закупочная цена
Xiaomi Redmi Note 11S 5G 4/64GB (22031116BG) Duos;4000
Xiaomi Redmi Note 11S 6/128GB (2201117SG) Duos;4000
Xiaomi Redmi Note 11S 6/128GB (2201117SY) Duos;4000
Xiaomi Redmi Note 13 8/128GB (23124RA7EO) Duos;4000
Xiaomi Redmi Note 13 8/128GB (23129RAA4G) Duos;4000
Xiaomi Mi 8 6/64GB (M1803E1A) Duos;3700
Xiaomi Mi 9 6/64GB (M1902F1G) Duos;3700
Xiaomi Mi 9 SE 6/128GB (M1903F2G) Duos;3700
Xiaomi Mi 9 SE 6/64GB (M1903F2G) Duos;3700
Xiaomi Mi 9T 6/64GB (M1903F10G) Duos;3700
Xiaomi Redmi 12 4/128GB (23053RN02Y) Duos;3700
Xiaomi Redmi 12 8/256GB (23053RN02A) Duos;3700
Xiaomi Redmi 12 8/256GB (23053RN02Y) Duos;3700
Xiaomi Redmi 13C 8/256GB (23106RN0DA) Duos;3700
Xiaomi Redmi 13C 8/256GB (23108RN04Y) Duos;3700
Xiaomi Redmi 14C 8/256GB (2409BRN2CA) Duos;3700
Xiaomi Redmi 14C 8/256GB (2409BRN2CY) Duos;3700
Xiaomi Redmi Note 11S 6/64GB (2201117SY) Duos;3700
Xiaomi Redmi Note 12 6/128GB (23021RAA2Y) Duos;3700
Xiaomi Mi 9 Lite 6/128GB (M1904F3BG) Duos;3400
Xiaomi Mi 9 Lite 6/64GB (M1904F3BG) Duos;3400
Xiaomi Redmi 13 6/128GB (24040RN64Y) Duos;3400
Xiaomi Redmi Note 11 4G 6/128GB (21121119SC) Duos;3400
Xiaomi Redmi Note 8 2021 4/128GB (M1908C3JGG) Duos;3400
Xiaomi Redmi Note 9 Pro 6/128GB (M2003J6B2G) Duos;3400
Xiaomi Mi 8 Lite 6/128GB (M1808D2TG) Duos;3100
Xiaomi Mi Max 3 4/64GB (M1804E4A) Duos;3100
Xiaomi Redmi 13C 4/128GB (23106RN0DA) Duos;3100
Xiaomi Redmi 13C 4/128GB (23108RN04Y) Duos;3100
Xiaomi Redmi 13C 6/128GB (23106RN0DA) Duos;3100
Xiaomi Redmi 14C 4/128GB (2409BRN2CY) Duos;3100
Xiaomi Redmi A3 Pro 4/128GB (2409BRN2CG) Duos;3100
Xiaomi Redmi Note 10S 6/128GB (M2101K7BL) Duos;3100
Xiaomi Redmi Note 10S 6/128GB (M2101K7BNY) Duos;3100
Xiaomi Redmi Note 12 4/128GB (23021RAA2Y) Duos;3100
Xiaomi Redmi 10 2022 4/128GB (21121119SG) Duos;2850
Xiaomi Redmi 10 2022 4/128GB (22011119UY) Duos;2850
Xiaomi Redmi 10 4/128GB (21061119DG) Duos;2850
Xiaomi Redmi A5 4/128GB (25028RN03A) Duos;2850
Xiaomi Redmi Note 10T NFC 4/128GB (M2103K19Y) Duos;2850
Xiaomi Redmi Note 11 4/128GB (2201117TY) Duos;2850
Xiaomi Redmi Note 11 4/64GB (2201117TY) Duos;2850
Xiaomi Redmi Note 9 Pro 6/64GB (M2003J6B2G) Duos;2850
Xiaomi Mi A2 4/64GB (M1804D2SG) Duos;2550
Xiaomi Redmi 10 2022 4/64GB (22011119UY) Duos;2550
Xiaomi Redmi 10 4/64GB (21061119DG) Duos;2550
Xiaomi Redmi 10C 4/128GB (220333QNY) Duos;2550
Xiaomi Redmi 9T NFC 4/128GB (M2010J19SY) Duos;2550
Xiaomi Redmi Note 7 4/128GB (M1901F7G) Duos;2550
Xiaomi Redmi Note 7 Pro 6/128GB (M1901F7BE) Duos;2550
Xiaomi Redmi Note 8 2021 4/64GB (M1908C3JGG) Duos;2550
Xiaomi Redmi Note 8 4/128GB (M1908C3JG) Duos;2550
Xiaomi Redmi Note 8 Pro 6/128GB (M1906G7G) Duos;2550
Xiaomi Redmi Note 8 Pro 6/64GB (M1906G7G) Duos;2550
Xiaomi Redmi Note 8 Pro 8/128GB (M1906G7G) Duos;2550
Xiaomi Redmi Note 9 4/128GB (M2003J15SS) Duos;2550
Xiaomi Redmi Note 9 NFC 4/128GB (M2003J15SG) Duos;2550
Xiaomi Mi A3 4/64GB (M1906F9SH) Duos;2400
Xiaomi Redmi 12C 4/128GB (22120RN86C) Duos;2400
Xiaomi Redmi 12C 4/128GB (22126RN91Y) Duos;2400
Xiaomi Redmi 12C 4/128GB (2212ARNC4L) Duos;2400
Xiaomi Redmi 9C NFC 4/128GB (M2006C3MNG) Duos;2400
Xiaomi Redmi A3 4/128GB (23129RN51X) Duos;2400
Xiaomi Redmi Note 10 4/64GB (M2101K7AG) Duos;2400
Xiaomi Redmi Note 10S 6/64GB (M2101K7BNY) Duos;2400
Xiaomi Redmi Note 9S 4/64GB (M2003J6A1G) Duos;2400
Xiaomi Mi A2 4/32GB (M1804D2SG) Duos;2250
Xiaomi Redmi A3 3/64GB (23129RN51X) Duos;2250
Xiaomi Redmi A5 3/64GB (25028RN03A) Duos;2250
Xiaomi Redmi Note 6 Pro 4/64GB (M1806E7TG) Duos;2250
Xiaomi Mi A1 4/64GB Duos;1950
Xiaomi Redmi 7 3/64GB (M1810F6LG) Duos;1950
Xiaomi Redmi 7 4/64GB (M1810F6LE) Duos;1950
