Модель;Закупочная цена
Samsung Galaxy Note 9 6/128GB (N960F) Duos;6750
Samsung Galaxy S10 8/128GB (G973F) Duos;6750
Samsung Galaxy S10 Lite 6/128GB (G770F) Duos;6750
Samsung Galaxy M52 5G 6/128GB (M526B) Duos;6400
Samsung Galaxy M52 5G 8/128GB (M526BR) Duos;6400
Samsung Galaxy S20 FE 6/128GB (G780F) Duos;6400
Samsung Galaxy S20 FE 6/128GB (G780G) Duos;6400
Samsung Galaxy S8+ 6/128GB (G955FD) Duos;6400
Samsung Galaxy S9+ 6/64GB (G965F) Duos;6400
Samsung Galaxy A53 5G 6/128GB (A536E) Duos;6050
Samsung Galaxy A53 5G 8/128GB (A536E) Duos;6050
Samsung Galaxy A71 5G 8/128GB (A716S);6050
Samsung Galaxy A25 6/128GB (A256E) Duos;5700
Samsung Galaxy A33 5G 6/128GB (A336B) Duos;5700
Samsung Galaxy A33 5G 8/128GB (A336E) Duos;5700
Samsung Galaxy A34 6/128GB (A346E) Duos;5700
Samsung Galaxy A34 8/128GB (A346E) Duos;5700
Samsung Galaxy A35 8/128GB (A356E) Duos;5700
Samsung Galaxy A15 8/256GB (A155F) Duos;5300
Samsung Galaxy A16 6/128GB (A165F) Duos;5300
Samsung Galaxy A16 8/256GB (A165F) Duos;5300
Samsung Galaxy A24 6/128GB (A245F) Duos;5300
Samsung Galaxy M33 5G 8/128GB (M336B) Duos;5300
Samsung Galaxy Note 8 6/64GB (N950N);5300
Samsung Galaxy A52 4/128GB (A525F) Duos;4950
Samsung Galaxy M23 5G 6/128GB (M236B) Duos;4950
Samsung Galaxy A32 6/128GB (A325F) Duos;4700
Samsung Galaxy A71 6/128GB (A715F) Duos;4700
Samsung Galaxy M32 6/128GB (M325F) Duos;4700
Samsung Galaxy M32 6/128GB (M325FV) Duos;4700
Samsung Galaxy S10e 6/128GB (G970F) Duos;4700
Samsung Galaxy S9 4/64GB (G960F) Duos;4700
Samsung Galaxy A07 6/128GB (A075F) Duos;4300
Samsung Galaxy A05 4/128GB (A055F) Duos;4000
Samsung Galaxy A06 4/128GB (A065F) Duos;4000
Samsung Galaxy A06 6/128GB (A065F) Duos;4000
Samsung Galaxy A15 4/128GB (A155F) Duos;4000
Samsung Galaxy A16 4/128GB (A165F) Duos;4000
Samsung Galaxy A22/s 5G 4/128GB (A226B) Duos;4000
Samsung Galaxy A24 4/128GB (A245F) Duos;4000
Samsung Galaxy M22 4/128GB (M225FV) Duos;4000
Samsung Galaxy M31s 6/128GB (M317F) Duos;4000
Samsung Galaxy Note 5 4/64GB (N920K);4000
Samsung Galaxy A07 4/64GB (A075F) Duos;3700
Samsung Galaxy S7 Edge 4/32GB (G935FD) Duos;3700
Samsung Galaxy S7 Edge 4/64GB (G935FD) Duos;3700
Samsung Galaxy S8 4/64GB (G950FD) Duos;3700
Samsung Galaxy S8 4/64GB (G950N);3700
Samsung Galaxy S8+ 4/64GB (G955FD) Duos;3700
Samsung Galaxy A05s 4/128GB (A057F) Duos;3400
Samsung Galaxy A14 4/128GB (A145F) Duos;3400
Samsung Galaxy A14 4/128GB (A145P) Duos;3400
Samsung Galaxy A14 6/128GB (A145F) Duos;3400
Samsung Galaxy A14 6/128GB (A145P) Duos;3400
Samsung Galaxy A22 4G 4/128GB (A225F) Duos;3400
Samsung Galaxy A22/s 5G 4/64GB (A226B) Duos;3400
Samsung Galaxy A23 4/64GB (A235F) Duos;3400
Samsung Galaxy A31 4/128GB (A315F) Duos;3400
Samsung Galaxy A32 4/128GB (A325F) Duos;3400
Samsung Galaxy A50 2019 6/128GB (A505FM) Duos;3400
Samsung Galaxy A51 4/128GB (A515F) Duos;3400
Samsung Galaxy A51 6/128GB (A515F) Duos;3400
Samsung Galaxy A70 2019 6/128GB (A705F/FN) Duos;3400
Samsung Galaxy A9 2018 6/128GB (A920F) Duos;3400
Samsung Galaxy M31 6/128GB (M315F) Duos;3400
Samsung Galaxy S6 3/64GB (G920F) Duos;3400
Samsung Galaxy S7 4/32GB (G930FD) Duos;3400
Samsung Galaxy A04s 4/128GB (A047F) Duos;3100
Samsung Galaxy A12 4/128GB (A125F) Duos;3100
Samsung Galaxy A12 4/128GB (A127F) Duos;3100
Samsung Galaxy A13 4/128GB (A135F) Duos;3100
Samsung Galaxy S6 3/64GB (G920S);3100
Samsung Galaxy A05 4/64GB (A055F) Duos;2850
Samsung Galaxy A32 4/64GB (A325F) Duos;2850
Samsung Galaxy Note 4 3/32GB (N910H);2850
Samsung Galaxy A06 4/64GB (A065F) Duos;2550
Samsung Galaxy A22 4G 4/64GB (A225F) Duos;2550
Samsung Galaxy A13 3/32GB (A135F) Duos;2400
Samsung Galaxy A14 4/64GB (A145F) Duos;2400
Samsung Galaxy A14 4/64GB (A145P) Duos;2400
Samsung Galaxy A21s 3/32GB (A217F) Duos;2400
Samsung Galaxy A21s 4/64GB (A217F) Duos;2400
Samsung Galaxy A31 4/64GB (A315F) Duos;2400
Samsung Galaxy A51 4/64GB (A515F) Duos;2400
Samsung Galaxy M21 4/64GB (M215F) Duos;2400
Samsung Galaxy A30 3/32GB (A305F/A305FN) Duos;2250
Samsung Galaxy A30 4/64GB (A305F/FN) Duos;2250
Samsung Galaxy A30s 4/64GB (A307FN) Duos;2250
Samsung Galaxy A40 2019 4/64GB (A405FM) Duos;2250
Samsung Galaxy A50 2019 4/64GB (A505FN) Duos;2250
Samsung Galaxy A7 2018 4/64GB (A750FN) Duos;2250
Samsung Galaxy A8+ 4/32GB (A730F) Duos;2250
Samsung Galaxy A6+ 3/32GB (A605FN) Duos;2100
Samsung Galaxy A8 4/32GB (A530F) Duos;2100
Samsung Galaxy A03 4/64GB (A035F) Duos;1950
Samsung Galaxy A03s 4/64GB (A037F) Duos;1950
Samsung Galaxy A04e 3/64GB (A042F) Duos;1950
Samsung Galaxy A04s 3/32GB (A047F) Duos;1950
Samsung Galaxy A12 4/64GB (A125F) Duos;1950
Samsung Galaxy A12 4/64GB (A127F) Duos;1950
Samsung Galaxy M12 3/32GB (M127F) Duos;1950
Samsung Galaxy M12 4/64GB (M127F) Duos;1950
Samsung Galaxy S6 3/32GB (G920S);1950
Samsung Galaxy S6 Edge 3/32GB (G925K);1950
Samsung Galaxy A5 2017 3/32GB (A520F) Duos;1800
Samsung Galaxy A02s 3/32GB (A025F) Duos;1650
Samsung Galaxy A03 Core 2/32GB (A032F) Duos;1650
Samsung Galaxy A03s 3/32GB (A037F) Duos;1650
Samsung Galaxy A11 2/32GB (A115F) Duos;1650
Samsung Galaxy A12 3/32GB (A125F) Duos;1650
Samsung Galaxy A12 3/32GB (A127F) Duos;1650
Samsung Galaxy A20 3/32GB (A205FN) Duos;1650
Samsung Galaxy A20s 3/32GB (A207F) Duos;1650
Samsung Galaxy A30s 3/32GB (A307FN) Duos;1650
Samsung Galaxy A8 2018 4/32GB (A530N);1650
Samsung Galaxy J4+ 3/32GB (J415FN) Duos;1650
Samsung Galaxy J6+ 3/32GB (J610FN) Duos;1650
Samsung Galaxy J7 2017 3/16GB (J730FM) Duos;1650
Samsung Galaxy J8 2018 3/32GB (J810F) Duos;1650
Samsung Galaxy M11 (M115F) Duos;1650
Samsung Galaxy A7 2016 (A710L);1550
Samsung Galaxy Note 4 3/32GB (N916S);1550
Samsung Galaxy A10 2019 2/32GB (A105F) Duos;1400
Samsung Galaxy S4 (E300S);1400
Samsung Galaxy S5 2/16GB (G900FD) Duos;1400
Samsung Galaxy A01 (A015F/DS) Duos;1250
Samsung Galaxy A3 2017 (A320F) Duos;1250
Samsung Galaxy A5 2016 2/16GB (A510F) Duos;1250
Samsung Galaxy A6 2018 3/32GB (A600FN) Duos;1250
Samsung Galaxy J4 2018 3/32GB (J400F) Duos;1250
Samsung Galaxy J5 2017 2/16GB (J530FM) Duos;1250
Samsung Galaxy J6 2018 3/32GB (J600F) Duos;1250
Samsung Galaxy J7 2016 2/16GB (J710FN) Duos;1250
Samsung Galaxy J7 Neo 2/16GB (J701F) Duos;1250
Samsung Galaxy M01 (M015F) Duos;1250
Samsung Galaxy Note 3 3/32GB (N900);1250
Samsung Galaxy Note 3 3/32GB (N900S);1250
Samsung Galaxy A02 2/32GB (A022G) Duos;900
