Модель;Закупочная цена
Apple iPhone 5S 64GB (A1453/1533/ME306-438 MF353-360 NF352 FF352);2100
Apple iPhone 6 64GB (A1549/1586 MG472-502 4J2/4N2/542 MQ3D2 NG472);2100
Apple iPhone 7 32GB (A1778/1660/1779 MNAF2-982 MN9W2/8G2/02 NN8Y2 MN8X2);2100
Apple iPhone 6 32GB (A1549/1586 MG472-542 MQ3E2/D2 NG472 MN202);1800
Apple iPhone 6S 32GB (A1633/1688/1700 FKQJ2 MKQM2/J2 ML7C2 MN112/122/0W2 MN0W2);1800
Apple iPhone 6 16GB (A1549/1586 MG472-542/5W2/4Q2/6A2 MQ3D2 NG472);1650
Apple iPhone 6S 16GB (A1633/1688/1700 FKQJ2 MKQM2/J2/MK ML7C2 MN112 MKTP2 MKQ62);1650
Apple iPhone SE 1st gen. 2016 32GB (A1723/1662);1650
Apple iPhone 5S 16GB (A1453/A1530/A1533/A1457 ME296-438 MF353-352 NF352-354);1550
Apple iPhone 4S 16GB (A1431/1387 MF264-259 MD235-378 MC920-924 ME804) с СЗУ;550
Apple iPhone 4S 8GB (A1431/1387 MF257-266 MC920) с СЗУ;550
Apple iPhone 14 Plus 128GB (A2885, A2886, A2887);Не доступно
